"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13100_49",0.0793404,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,485.3252268
"2","All Fire","13110_49",0.1068442,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.6410652
"3","All Fire","14120_49",0.2907254,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.8721762
"4","All Fire","14210_49_52",0.2820258,"Central Tallgrass Prairie",1,0.768627451,21278,76.3,6000.9449724
"5","All Fire","14690_38_42_49",0.0206142,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,0.5565834
"6","All Fire","14710_49_52",0.0171822,"Central Interior and Appalachian Floodplain Systems",7,0.690196078,7,0,0.1202754
"7","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",8,0.149019608,0,0,0
"8","All Transitions","13100_49",0.1237678,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,757.0876326
"9","All Transitions","13110_49",0.1154934,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.6929604
"10","All Transitions","14120_49",0.3052058,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.9156174
"11","All Transitions","14210_49_52",0.3121762,"Central Tallgrass Prairie",1,0.768627451,21278,76.3,6642.4851836
"12","All Transitions","14690_38_42_49",0.0973822,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,2.6293194
"13","All Transitions","14710_49_52",0.2329834,"Central Interior and Appalachian Floodplain Systems",7,0.690196078,7,0,1.6308838
"14","All Transitions","15180_43_47_49_52_62_63_64_65",0.0040022,"North-Central Interior Wet Flatwoods",8,0.149019608,0,0,0
"15","Alternative Succession","13100_49",0.0423428,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,259.0109076
"16","Alternative Succession","13110_49",0.0028422,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.0170532
"17","Alternative Succession","14120_49",0.0081176,"North-Central Interior Sand and Gravel Tallgrass Prairie",6,0.615686275,3,0,0.0243528
"18","Alternative Succession","14210_49_52",0.0059384,"Central Tallgrass Prairie",1,0.768627451,21278,76.3,126.3572752
"19","Alternative Succession","14690_38_42_49",0.012811,"Eastern Great Plains Floodplain Systems",4,0.745098039,27,0.1,0.345897
"20","Mixed Fire","13100_49",0.021461,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2,0.870588235,6117,21.9,131.276937
"21","Mixed Fire","13110_49",0.0066474,"North-Central Interior Dry Oak Forest and Woodland",5,0.560784314,6,0,0.0398844
