"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,2013,"Open Water",0,0,255,0,0,1,448,1.6
"2",13,778,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,173,0.6
"3",14,5,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,1,0
"4",15,21,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,5,0
"5",16,2679,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,596,2.1
"6",17,1081,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,240,0.9
"7",22,1560,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,347,1.2
"8",23,2582,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,574,2.1
"9",24,2843,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,632,2.3
"10",25,11109,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,2471,8.9
"11",32,417,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,93,0.3
"12",63,1,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,0,0
"13",64,2035,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,453,1.6
"14",65,9,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,2,0
"15",68,27,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,6,0
"16",125,4,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,1,0
"17",131,2,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,0,0
"18",134,1,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,0,0
"19",135,30,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,7,0
"20",136,1,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,0,0
"21",137,1,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,0,0
"22",139,6,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,1,0
"23",140,5,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,1,0
"24",141,14,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,3,0
"25",142,7,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,2,0
"26",143,10,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,2,0
"27",144,19,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,4,0
"28",145,210,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,47,0.2
"29",146,44,"Tree Cover = 46%",94,171,62,0.368627,0.670588,0.243137,10,0
"30",147,60,"Tree Cover = 47%",93,168,61,0.364706,0.658824,0.239216,13,0
"31",148,80,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,18,0.1
"32",149,163,"Tree Cover = 49%",86,163,55,0.337255,0.639216,0.215686,36,0.1
"33",150,205,"Tree Cover = 50%",86,163,55,0.337255,0.639216,0.215686,46,0.2
"34",151,259,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,58,0.2
"35",152,341,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,76,0.3
"36",153,390,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,87,0.3
"37",154,453,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,101,0.4
"38",155,1122,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,250,0.9
"39",156,502,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,112,0.4
"40",157,513,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,114,0.4
"41",158,587,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,131,0.5
"42",159,550,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,122,0.4
"43",160,592,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,132,0.5
"44",161,573,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,127,0.5
"45",162,599,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,133,0.5
"46",163,627,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,139,0.5
"47",164,653,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,145,0.5
"48",165,1180,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,262,0.9
"49",166,653,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,145,0.5
"50",167,713,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,159,0.6
"51",168,719,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,160,0.6
"52",169,741,"Tree Cover = 69%",42,117,25,0.164706,0.458824,0.098039,165,0.6
"53",170,763,"Tree Cover = 70%",39,117,23,0.152941,0.458824,0.090196,170,0.6
"54",171,759,"Tree Cover = 71%",37,115,22,0.145098,0.45098,0.086275,169,0.6
"55",172,675,"Tree Cover = 72%",36,112,21,0.141176,0.439216,0.082353,150,0.5
"56",173,609,"Tree Cover = 73%",33,110,20,0.129412,0.431373,0.078431,135,0.5
"57",174,549,"Tree Cover = 74%",32,107,18,0.12549,0.419608,0.070588,122,0.4
