"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,6038,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,1343,4.8
"2",2,57,"B","Succession Class B",56,168,0,0.219608,0.658824,0,13,0
"3",3,1355,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,301,1.1
"4",4,5143,"D","Succession Class D",255,248,166,1,0.972549,0.65098,1144,4.1
"5",5,16,"E","Succession Class E",0,74,77,0,0.290196,0.301961,4,0
"6",6,8929,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,1986,7.1
"7",7,25735,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,5723,20.5
"8",111,2013,"Water","Water",0,0,255,0,0,1,448,1.6
"9",120,22658,"Developed","Developed",132,0,138,0.517647,0,0.541176,5039,18.1
"10",132,417,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,93,0.3
"11",180,53028,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,11793,42.3
